,SriLanka_creole,phonetic_transcription,Portuguese_definition,Portuguese_IPA,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
0,Abaço,abaso,abaixo,ɐ.ˈbaj.ʃu,below,adverb,,,,"Abaço, abaixo. P. us. V.",abaixo,pouco usado,135.0
1,Aberçà,abeɾsaː,abraçar,ɐ.bɾɐ.ˈsaɾ,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
2,abersà,abeɾsaː,abraçar,ɐ.bɾɐ.ˈsaɾ,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
3,aburçá,abuɾsaː,abraçar,ɐ.bɾɐ.ˈsaɾ,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
4,Aburcé,abuɾseː,aborrecer,ɐ.bu.Rɨ.ˈseɾ,annoy,verb,,,,Aburcé. Mais us. burcé.,Mesmo que burcé,,135.0
5,Ablà,ablaː,"soar, atroar, entoar, proclamar",,"sound, thunder, chant, proclaim",verb,Marathi,,,"Ablà, soar; atroar; entoar; proclamar. — Do port. abalar?","soar, atroar, entoar, proclamar",,135.0
6,Aborcido,aboɾsido,aborrecido,ɐ.bu.Rɨ.ˈsi.du,bored,adjective,,,,Aborcido. P. us. V. borcido.,borcido,pouco usado,135.0
7,Absença,absensa,ausência,aw.ˈzẽ.sjɐ,absence,noun,,,,"Absença {b pron.), ausência.— íngl. absence.",ausência,,135.0
8,Absente,absente,ausente,,absent,adjective,English,,,"Absente, ausente. — Ingl. absent.",ausente,,135.0
9,Abundamente,abundamente,abundantemente,,abundantly,adverb,,,,"Abundamente, abundantemente.— De abunda.",abundantemente,,135.0
10,Abysso,abiso,abismo,,abyss,noun,"Italian, English",,,Abysso (C. 'À.\ abysmo.— Ital. abisso. Ingl. abyss.,abismo,,135.0
11,Acá,akaː,cá,ˈka,here,adverb,,Old Portuguese,,"Acá, cá. — Port. arch. Elii-cid.: acó e aqó. Cfr. alá.",cá,,135.0
12,Acceptà,akseptaː,aceitar,,accept,verb,English,,,"Acceptà {p pron.), acceitar. Aoceptação, acceitação. Ao-ceptavel, acceitavel. — Ingl. to accept, etc.",acceitar,,135.0
13,Acceptação,akseptasaːo,aceitação,,acceptance,noun,English,,,,acceitação,,135.0
14,Acceptavel,akseptaʋel,aceitável,,acceptable,adjective,English,,,,acceitavel,,135.0
15,Acoompinhà,akoompiɲaː,acompanhar,,accompany,verb,,Old Portuguese,,Acoompinhà (ant.). V. com-,acompanhar,,135.0
16,Accordá,akoɾdaː,"acordar, fazer bem ao estômago",,"wake up, make the stomach feel good",verb,,,,"Accordá, accordar; fazer bem ao estômago.","accordar, fazer bem ao estômago",,135.0
17,Acoordança,akooɾdansa,"acordo, unanimidade, pacto",,"agreement, unanimity, pact",noun,,,,"Acoordança, accordancè, accordo ; unanimidade; pacto.—Deriv. norm. de accordá. Cfi-, cuidança, duvidança.","accordo, unanimidade, pacto",derivado norm. de accordá.,135.0
18,accordancè,akoɾdanseː,"acordo, unanimidade, pacto",,"agreement, unanimity, pact",noun,,,,"Acoordança, accordancè, accordo ; unanimidade; pacto.—Deriv. norm. de accordá. Cfi-, cuidança, duvidança.","accordo, unanimidade, pacto",derivado norm. de accordá.,135.0
19,Acento,asento,"assenso, consenso",,assent,noun,English,,,"Acento, assenso, consenso.— Ingl. assent.","assenso, consenso",,135.0
20,Acerto,aseɾto,"casualidade, acaso",,chance,noun,,,,"Acerto, casualidade, acaso. Per acerto, por acaso.","casualidade, acaso",,135.0
21,Achar,at̠ʃaɾ,conserva de frutos em vinagre ou em água e sal,,fruit preserves in vinegar or water and salt,noun,,All Portuguese-based creoles of India,Garcia da Horta,Acbar (subs.)^ conserva de fructos em vinagre ou em agua e sal. «E fazem delle (do ana-cardo) quando é verde conserva com sal pêra comer (a que cha-mão qua achar)». Gare. Comm.,conserva de fructos em vinagre ou em agua e sal,,135.0
22,Açorague,asoɾage,açougue,ɐ.ˈsow.ɡɨ,butchery,noun,,,,"Açorague, açougue. — Por equivocação com a^orrague (desus.)?",açougue,,135.0
23,Ade,ade,pato,,duck,noun,Macao creole,"Old Portuguese, All Portuguese-based creoles of India",,"Ade, adem, pato. Comm. Dial. mac. — Port. arch. na signif.",pato,,135.0
24,adem,adem,pato,,duck,noun,Macao creole,"Old Portuguese, All Portuguese-based creoles of India",,"Ade, adem, pato. Comm. Dial. mac. — Port. arch. na signif.",pato,,135.0
25,Ade,ade,"há de, hei de, etc",,"it will be, I will be, etc.",verb,,,Istori de San Clear,"Ade (poet.), ha de, hei de, etc. P. us. Cfr. ero.","ha de, hei de, etc","pouco usado, poético",135.0
26,Adéo,adeːo,adeus,ɐ.ˈdewʃ,goodbye,noun,,,,"Adéo, adeus. 5 apocopado, por se considerar a locução simples e singular. Cfr. simple.",adeus,,135.0
27,Adiôto,adioːto,douto,ˈdow.tu,learned,noun,,,Istori de San Clear,"Adiôto (S. C), douto.",douto,,135.0
28,Adivu,adiʋu,"adive, chacal, raposa",,"jackal, fox",noun,,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135.0
29,adiu,adiu,"adive, chacal, raposa",,"jackal, fox",noun,,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135.0
30,adio,adio,"adive, chacal, raposa",,"jackal, fox",noun,,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135.0
31,adéo,adeːo,"adive, chacal, raposa",,"jackal, fox",noun,,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135.0
32,Adjudà,ad̠ʒudaː,ajudar,,help,verb,,,,"Adjudà, ajudar. Mais us. Judá. Cfr. Jitchá.",ajudar,,136.0
33,Admiral,admiɾal,almirante,,admiral,noun,English,,,"Admirai, almirante. — Ingl.",almirante,,136.0
34,Adultéria,adulteːɾia,adultério,ɐ.duɫ.tˈɛ.ɾi.u,adultery,noun,,,,"Adultéria, adulteração, adultério. Cfr. mystéria; cui-dação.",adultério,,136.0
35,adulteração,adulteɾasaːo,adultério,ɐ.duɫ.tˈɛ.ɾi.u,adultery,noun,,,,"Adultéria, adulteração, adultério. Cfr. mystéria; cui-dação.",adultério,,136.0
36,Adulterioso,adulteɾiozo,adultero,,adulterer,noun,,,,"Adultérios o, adulteiroso, adultero. Cfr. alegroso, im-pioso, mundoso.",adultero,,136.0
37,adulteiroso,adulteiɾozo,adultero,,adulterer,noun,,,,"Adultérios o, adulteiroso, adultero. Cfr. alegroso, im-pioso, mundoso.",adultero,,136.0
38,Advocat,adʋokat,advogado,,advocate,noun,English,,,"Advocat, advogado. P. us. V. AVOCADO. — Ingl. advocate.",advogado,pouco usado,136.0
39,Advogador,adʋogadoɾ,advogado,,attorney,noun,,,"Cantigas, ed. de Newstead","Advogador (C. de N.), advogado.",advogado,,136.0
40,Affajado,afad̠ʒado,afogado,,drowned,adjective,,,,"AíFajado (A^. T.), afogado.",afogado,,136.0
41,Affeçan,afesan,afeição,ɐ.fɐj.ˈsɐ̃w̃,affection,noun,,,,"Affeçan, aífeição.",aífeição,,136.0
42,Afflictá,afliktaː,afligir,,afflict,verb,English,,,"Afflictá, affligir. Afflictado, afflicto.^—Ingl. to afflict.",affligir,,136.0
43,Ágô,aːgoː,água,a.gwɐ,water,noun,"Capeverdean creole, Cochin creole, Macao creole",,,"Ágo (fórm. mod.), agoe, (p. uspron. ágô)^ agua (t. us.). Ago: dial. cochmac, cab. Cfr. lingo, lego.",água,pouco usado,136.0
44,Agór,agoːɾ,agora,,now,adverb,"Diu creole, Mangalor creole",,,"Agór, agorra, agorrè, agora (ant.). Agor: dial. mangdiv. Cfr. carro; forre.",agora,,136.0
45,agorra,agora,agora,,now,adverb,"Diu creole, Mangalor creole",,,"Agór, agorra, agorrè, agora (ant.). Agor: dial. mangdiv. Cfr. carro; forre.",agora,,136.0
46,agorrè,agoreː,agora,,now,adverb,"Diu creole, Mangalor creole",,,"Agór, agorra, agorrè, agora (ant.). Agor: dial. mangdiv. Cfr. carro; forre.",agora,,136.0
47,Agradado,agɾadado,agradável,ɐ.ɡɾɐ.ˈda.vɛɫ,pleasant,adjective,,,,"Agradado, agradável. Cfr. desobedecido, perfeitado.",agradável,,136.0
48,Aguá,aguaː,voar,ˈvwaɾ,fly,verb,Macao creole,,,"Agua, aguvá, voar. Agua: dial. mac.—Por avoá, q. v. Cfr. nôgo, ôgo.",voar,,136.0
49,aguvá,aguʋaː,voar,ˈvwaɾ,fly,verb,Macao creole,,,"Agua, aguvá, voar. Agua: dial. mac.—Por avoá, q. v. Cfr. nôgo, ôgo.",voar,,136.0
50,Aindè,aindeː,ainda,ɐ.ˈĩ.dɐ,still,adverb,,,,"Aindè, ainda. Mais us. indè.",ainda,,136.0
51,Aio,aio,ah! oh!,,ah! oh!,interjection,,,,Aio (pron. aiô)ah! oh! — Singl. ■&gt,"Em Macao creole : aiá.,ah! oh!",,136.0
52,Ajo,ad̠ʒo,alho,,garlic,noun,,,,"Ajo, alho. Cfr. ojo.",alho,,136.0
53,Alà,alaː,"lá, ali",,there,adverb,Capeverdean creole,Old Portuguese,,"Alà, allá, lá; alli. Dial. cab. Alá: port. arch.","lá, alli",,136.0
54,allá,alaː,"lá, ali",,there,adverb,Capeverdean creole,Old Portuguese,,"Alà, allá, lá; alli. Dial. cab. Alá: port. arch.","lá, alli",,136.0
55,Albre,albɾe,árvore,ˈaɾ.vu.ɾɨ,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
56,àlbri,aːlbɾi,árvore,ˈaɾ.vu.ɾɨ,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
57,àlbir,aːlbiɾ,árvore,ˈaɾ.vu.ɾɨ,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
58,Aldeano,aldeano,aldeão,,villager,noun,,,,"Aldeano, aldeão. T. em Gôa. Cfr. capitano.",aldeão,,136.0
59,Aldia,aldia,aldeia,aɫ.ˈdɐj.ɐ,village,noun,,,,"Aldia, aldeia. Cfr. ária, cadia.",aldeia,,136.0
60,Alegrado,alegɾado,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,"Alegrado, alegre. Cfr. agradado.",alegre,,136.0
