SriLanka_creole,phonetic_transcription,Portuguese_definition,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
Abaço,abaso,abaixo,below,adverb,,,,"Abaço, abaixo. P. us. V.",abaixo,pouco usado,135.0
Aberçà,abeɾsaː,abraçar,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
abersà,abeɾsaː,abraçar,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
aburçá,abuɾsaː,abraçar,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
Aburcé,abuɾseː,aborrecer,annoy,verb,,,,Aburcé. Mais us. burcé.,Mesmo que burcé,,135.0
Ablà,ablaː,"soar, atroar, entoar, proclamar","sound, thunder, chant, proclaim",verb,Marathi,,,"Ablà, soar; atroar; entoar; proclamar. — Do port. abalar?","soar, atroar, entoar, proclamar",,135.0
Aborcido,aboɾsido,aborrecido,bored,adjective,,,,Aborcido. P. us. V. borcido.,borcido,pouco usado,135.0
Absença,absensa,ausência,absence,noun,,,,"Absença {b pron.), ausência.— íngl. absence.",ausência,,135.0
Absente,absente,ausente,absent,adjective,English,,,"Absente, ausente. — Ingl. absent.",ausente,,135.0
Abundamente,abundamente,abundantemente,abundantly,adverb,,,,"Abundamente, abundantemente.— De abunda.",abundantemente,,135.0
Abysso,abiso,abismo,abyss,noun,"Italian, English",,,Abysso (C. 'À.\ abysmo.— Ital. abisso. Ingl. abyss.,abismo,,135.0
Acá,akaː,cá,here,adverb,,Old Portuguese,,"Acá, cá. — Port. arch. Elii-cid.: acó e aqó. Cfr. alá.",cá,,135.0
Acceptà,akseptaː,aceitar,accept,verb,English,,,"Acceptà {p pron.), acceitar. Aoceptação, acceitação. Ao-ceptavel, acceitavel. — Ingl. to accept, etc.",acceitar,,135.0
Acceptação,akseptasaːo,aceitação,acceptance,noun,English,,,,acceitação,,135.0
Acceptavel,akseptaʋel,aceitável,acceptable,adjective,English,,,,acceitavel,,135.0
Acoompinhà,akoompiɲaː,acompanhar,accompany,verb,,Old Portuguese,,Acoompinhà (ant.). V. com-,acompanhar,,135.0
Accordá,akoɾdaː,"acordar, fazer bem ao estômago","wake up, make the stomach feel good",verb,,,,"Accordá, accordar; fazer bem ao estômago.","accordar, fazer bem ao estômago",,135.0
Acoordança,akooɾdansa,"acordo, unanimidade, pacto","agreement, unanimity, pact",noun,,,,"Acoordança, accordancè, accordo ; unanimidade; pacto.—Deriv. norm. de accordá. Cfi-, cuidança, duvidança.","accordo, unanimidade, pacto",derivado norm. de accordá.,135.0
accordancè,akoɾdanseː,"acordo, unanimidade, pacto","agreement, unanimity, pact",noun,,,,"Acoordança, accordancè, accordo ; unanimidade; pacto.—Deriv. norm. de accordá. Cfi-, cuidança, duvidança.","accordo, unanimidade, pacto",derivado norm. de accordá.,135.0
Acento,asento,"assenso, consenso",assent,noun,English,,,"Acento, assenso, consenso.— Ingl. assent.","assenso, consenso",,135.0
Acerto,aseɾto,"casualidade, acaso",chance,noun,,,,"Acerto, casualidade, acaso. Per acerto, por acaso.","casualidade, acaso",,135.0
Achar,at̠ʃaɾ,conserva de frutos em vinagre ou em água e sal,fruit preserves in vinegar or water and salt,noun,,All Portuguese-based creoles of India,Garcia da Horta,Acbar (subs.)^ conserva de fructos em vinagre ou em agua e sal. «E fazem delle (do ana-cardo) quando é verde conserva com sal pêra comer (a que cha-mão qua achar)». Gare. Comm.,conserva de fructos em vinagre ou em agua e sal,,135.0
Açorague,asoɾage,açougue,butchery,noun,,,,"Açorague, açougue. — Por equivocação com a^orrague (desus.)?",açougue,,135.0
