IPA,count,word_count
.,30050,12160
ˈ,12318,12313
ɐ,10374,7254
ɾ,8132,6717
u,7921,6375
i,7620,5896
t,5637,4886
a,4968,4764
ɨ,4811,4063
d,3736,3172
k,3662,3402
s,3538,3221
̃,2841,1791
l,2611,2537
p,2526,2398
m,2500,2372
ʃ,2320,2249
n,1924,1848
ẽ,1503,1432
v,1486,1428
b,1477,1416
j,1364,1344
w,1316,1287
f,1315,1298
z,1224,1213
ɔ,1210,1122
ʒ,1199,1169
ɛ,1187,1162
ɡ,1180,1158
ʀ,1093,1086
ɫ,968,958
o,794,784
e,753,743
ĩ,679,670
õ,600,595
ʎ,298,298
ɲ,208,208
ũ,145,144
ʷ,140,137
<,46,46
x,46,46
ə,31,25
r,26,25
g,10,10
ʊ,5,5
ð,5,5
c,4,3
ɣ,3,3
ˌ,3,3
ʁ,2,2
ɜ,2,2
\,2,2
β,2,2
ɪ,1,1
h,1,1
↔,1,1
̣,1,1
̪,1,1
ʧ,1,1
0,1,1
ː,1,1
ł,1,1
ô,1,1
ŋ,1,1
S,1,1
_,1,1
é,1,1
