spelling,word
['ejʃseɾtuejʃeɾtu'],excerto
['pɨ.lu.ʃɨ'],peluche
['kõ.tɾi.bu.i.sɐw'],contribuição
['al.gɐj'],alguém
['kawʃ'],caos
['al.gu'],algo
['ɐ.nɐɾ.ki.ɐ'],anarquia
['sɨ.lɐj.ɾu'],celeiro
['kɐ.ɾi.ɔ.kɐ'],carioca
['gɾa.tiʃ'],grátis
['li.vɾɨ'],livre
['u.ik.si.u.na.ɾi.u'],Wikcionário
['di.si.u.na.ɾi.u'],dicionário
['gɾɐ.nɛl'],granel
['sɔf.tu.ɛɾ'],software
['ĩ.gleʃ'],inglês
['puɾ.tu.geʃ'],português
['ʃɾɐ.seʃ'],francês
['iʒ.lɐ.deʃ'],islandês
['i.ti.mu.lu.ʒi.ɐ'],etimologia
[''],brasileiro
['iʒ.ʀɐ.ɛ.li.tɐ'],israelita
['ʒu.dew'],judeu
['bɛl.gɐ'],belga
['u.kɾɐ.ni.ɐ.nu'],ucraniano
['taɾ.tɐ.ɾu'],tártaro
['lĩ.gwɐ'],língua
['ũ'],um
['ʒɐ.pu.neʃ'],japonês
['nĩ.gɐj'],ninguém
['tu.du'],tudo
['ew'],eu
['e.lɨ'],ele
['tɛ.tũ'],tétum
['vi.ɛt.nɐ.mi.tɐ'],vietnamita
['tɾi.pli.kaɾ'],triplicar
['kʷɐ.dɾu.pli.kaɾ'],quadruplicar
['kĩ.tu.pli.kaɾ'],quintuplicar
['ɐ.tɨ.njẽ.sɨ'],ateniense
['al.fɐ.bɨ.ti.zaɾ'],alfabetizar
['tɾu.vɐ.du.ɾeʃ.ku'],trovadoresco
['ew.ɾu.pew'],europeu
['ɛ.ti.mu'],étimo
['o.i.e'],hoje
['ɔ.mɔ.lu.gu'],homólogo
['mɨ.di.ɛ.val'],medieval
['ʀɨ.ʒiʃ.taɾ'],registar
['pɐ.ɾi.zjẽ.sɨ'],parisiense
['ɐ.guʃ.tjtɨ'],angustiante
['põ.tɨ'],ponte
['kõ.tɾɐ.pɾu.du.sẽ.tɨ'],contraproducente
['iʃ.tẽ.deɾ'],estender
['ɐjʃ.tẽ.sɐw'],extensão
['ɐ.ʒu.dɐ'],ajuda
['iʃ.plɐ.na.dɐ'],esplanada
['kõ.tɾɐ.mɐw'],contramão
['ɐ.bɾu.ɲu'],abrunho
['bɨɾ.li.nẽ.sɨ'],berlinense
['ɐ.tu.al.mẽ.tɨ'],atualmente
['ɐ.la.du'],alado
['i.nɛ.di.tu'],inédito
['dɨ.zẽ.vol.vi.mẽ.tu'],desenvolvimento
['paw.lɐ.ti.nu'],paulatino
['mɐ.tɨ.ɾjal'],material
['vi.ɾɔ.zɨ'],virose
['ew.ɾu.pɐ.i.zaɾ'],europeizar
['mɐ.ni.kɔ.mi.u'],manicómio
['bɐ.ku'],banco
['ga.du'],gado
['nɐ.tu.ɾal'],natural
['ɐ.tɐ.ɾɛ.fa.du'],atarefado
['ʒɨɾ.mɐ.ni.ku'],germânico
['li.bɨɾ.da.dɨ'],liberdade
['mẽ.tal'],mental
['ɔ.ɾɛ.gɐw'],orégão
['ow.tɾɔ.ɾɐ'],outrora
['kõ.pu.tɐ.doɾ'],computador
['dɨ.nu.mi.nɐ.doɾ'],denominador
['mɨ.dɨ.si.nɐ'],medicina
['kɐʃ.tɨ.ʎɐ.nu'],castelhano
['ɐ.zi.lu'],asilo
['ɔɾ.fɐ.na.tu'],orfanato
