"word","spelling"
"excerto","ejʃ.ˈseɾ.tu"
"peluche","pɨ.ˈlu.ʃɨ"
"contribuição","kõ.tɾi.bwi.ˈsɐ̃w̃"
"alguém","aɫ.ˈɡɐ̃j̃"
"caos","ˈkawʃ"
"algo","ˈaɫ.ɡu"
"anarquia","ɐ.nɐɾ.ˈki.ɐ"
"celeiro","sɨ.ˈlɐj.ɾu"
"carioca","kɐ.ˈɾjɔ.kɐ"
"grátis","g4a.tiZ"
"livre","ˈli.vɾɨ"
"Wikcionário","ˌwik.sju.ˈna.ɾju"
"dicionário","di.sju.ˈna.ɾju"
"granel","ɡɾɐ.ˈnɛɫ"
"software","sɔf.ˈtwɛɾ"
"inglês","ĩ.ˈgleʃ"
"português","puɾ.tu.ˈɡeʃ"
"francês","ʃɾɐ̃.ˈseʃ"
"islandês","iʒ.lɐ̃.ˈdeʃ"
"etimologia","i.ti.mu.lu.ˈʒi.ɐ"
"brasileiro","brɐ.zi.ˈɫɐj.ɾu"
"israelita","iʒ.Rɐ.ɛ.ˈli.tɐ"
"judeu","ʒu.ˈdew"
"belga","ˈbɛɫ.ɡɐ"
"ucraniano","u.kɾɐ.ˈnjɐ.nu"
"tártaro","ˈtaɾ.tɐ.ɾu"
"língua","ˈlĩ.ɡwɐ"
"um","ũ"
"japonês","ʒɐ.pu.ˈneʃ"
"ninguém","nĩ.ˈɡɐ̃j̃"
"tudo","ˈtu.du"
"eu","ˈew"
"ele","ˈe.lɨ"
"tétum","ˈtɛ.tũ"
"vietnamita","vjɛt.nɐ.ˈmi.tɐ"
"triplicar","tɾi.pli.ˈkaɾ"
"quadruplicar","kwɐ.dɾu.pli.ˈkaɾ"
"quintuplicar","kĩ.tu.pli.ˈkaɾ"
"ateniense","ɐ.tɨ.ˈnjẽ.sɨ"
"alfabetizar","aɫ.fɐ.bɨ.ti.ˈzaɾ"
"trovadoresco","tɾu.vɐ.du.ˈɾeʃ.ku"
"europeu","ew.ɾu.ˈpew"
"étimo","ˈɛ.ti.mu"
"hoje","ô.je"
"homólogo","ɔ.ˈmɔ.lu.ɡu"
"medieval","mɨ.djɛ.ˈvaɫ"
"registar","Rɨ.ʒiʃ.ˈtaɾ"
"parisiense","pɐ.ɾi.ˈzjẽ.sɨ"
"angustiante","ɐ̃.ɡuʃ.ˈtjtɨ"
"ponte","ˈpõ.tɨ"
"contraproducente","kõ.tɾɐ.pɾu.du.ˈsẽ.tɨ"
"estender","iʃ.tẽ.ˈdeɾ"
"extensão","ɐjʃ.tẽ.ˈsɐ̃w̃"
"ajuda","ɐ.ˈʒu.dɐ"
"esplanada","iʃ.plɐ.ˈna.dɐ"
"contramão","kõ.tɾɐ.ˈmɐ̃w̃"
"abrunho","ɐ.ˈbɾu.ɲu"
"berlinense","bɨɾ.li.ˈnẽ.sɨ"
"atualmente","ɐ.twaɫ.ˈmẽ.tɨ"
"alado","ɐ.ˈla.du"
"inédito","i.ˈnɛ.di.tu"
"desenvolvimento","dɨ.zẽ.voɫ.vi.ˈmẽ.tu"
"paulatino","paw.lɐ.ˈti.nu"
"material","mɐ.tɨ.ˈɾi.aɫ"
"virose","vi.ˈɾɔ.zɨ"
"europeizar","ew.ɾu.pɐ.i.ˈzaɾ"
"manicómio","mɐ.ni.ˈkɔ.mju"
"banco","ˈbɐ̃.ku"
"gado","ˈɡa.du"
"natural","nɐ.tu.ˈɾaɫ"
"atarefado","ɐ.tɐ.ɾɛ.ˈfa.du"
"germânico","ʒɨɾ.ˈmɐ.ni.ku"
"liberdade","li.bɨɾ.ˈda.dɨ"
"mental","mẽ.ˈtaɫ"
"orégão","ɔ.ˈɾɛ.ɡɐ̃w̃"
"outrora","ow.ˈtɾɔ.ɾɐ"
"computador","kõ.pu.tɐ.ˈdoɾ"
"denominador","dɨ.nu.mi.nɐ.ˈdoɾ"
"medicina","mɨ.dɨ.ˈsi.nɐ"
"castelhano","kɐʃ.tɨ.ˈʎɐ.nu"
"asilo","ɐ.ˈzi.lu"
"orfanato","ɔɾ.fɐ.ˈna.tu"
"janeiro","ʒɐ.ˈnɐj.ɾu"
"novembro","nu.ˈvẽ.bɾu"
"mês","ˈmeʃ"
"românico","Ru.ˈmɐ.ni.ku"
"baço","ˈba.su"
"estrupício","St4u.pi.siu_0"
"bissetriz","bi.sɛ.ˈtɾiʃ"
"desordem","dɨ.ˈzɔɾ.dɐ̃j̃"
"remédio","Rɨ.ˈmɛ.dju"
"verbo","ˈvɛɾ.bu"
"polígono","pu.ˈli.ɡu.nu"
"ano","ˈɐ.nu"
"antes","ˈɐ̃.tɨʃ"
"ângulo","ˈɐ̃.ɡu.lu"
"belo","ˈbɛ.lu"
"cã","kɐ̃"
"segmento","sɛˈɡ.mẽ.tu"
"geometria","ʒju.mɨ.ˈtɾi.ɐ"
"matemática","mɐ.tɨ.ˈma.ti.kɐ"
"cão","ˈkɐ̃w̃"
"hebraico","i.ˈbɾaj.ku"
"itálico","i.ˈta.li.ku"
"grogue","ˈɡɾɔ.ɡɨ"
"triângulo","tɾi.ɐ̃.ˈɡu.lu"
"quadrilátero","kwɐ.dɾi.ˈla.tɨ.ɾu"
"pentágono","pẽ.ˈta.ɡu.nu"
"octógono","ɔˈk.tɔ.ɡu.nu"
"brasa","ˈbɾa.zɐ"
"hagiografia","ɐ.ʒju.ɡɾɐ.ˈfi.ɐ"
"dobrar","du.ˈbɾaɾ"
"sinónimo","si.ˈnɔ.ni.mu"
"antónimo","ɐ̃.ˈtɔ.ni.mu"
"horrendo","u.ˈRẽ.du"
"lindo","ˈlĩ.du"
"gostoso","ɡuʃ.ˈto.zu"
"canhão","kɐ.ˈɲɐ̃w̃"
"bonito","bu.ˈni.tu"
"ótimo","ˈɔ.ti.mu"
"dezassete","dɨ.zɐ.ˈsɛ.tɨ"
"árabe","ˈa.ɾɐ.bɨ"
"basquetebol","baʃ.kɛ.tˈbɔɫ"
"desporto","dɨʃ.ˈpoɾ.tu"
"futebol","fu.tɨ.ˈbɔɫ"
"natação","nɐ.tɐ.ˈsɐ̃w̃"
"célula","ˈsɛ.lu.lɐ"
"provento","pɾu.ˈvẽ.tu"
"voleibol","vɔ.lɐj.ˈbɔɫ"
"direito","di.ˈɾɐj.tu"
"angústia","ɐ̃.ˈɡuʃ.tjɐ"
"tapar","tɐ.ˈpaɾ"
"proteger","pɾu.tɨ.ˈʒeɾ"
"descobrir","dɨʃ.ku.ˈbɾiɾ"
"encerrar","ẽ.sɨ.ˈRaɾ"
"heterossexual","ɛ.tɨ.ɾɔ.sɛ.ˈkswaɫ"
"dois","ˈdojʃ"
"duas","ˈdu.ɐʃ"
"cilindro","sɨ.ˈlĩ.dɾu"
"retângulo","Rɛ.ˈtɐ̃.ɡu.lu"
"gramática","ɡɾɐ.ˈma.ti.kɐ"
"paráfrase","pɐ.ˈɾa.fɾɐ.zɨ"
"edição","i.di.ˈsɐ̃w̃"
"adjetivo","ɐ.dʒɛ.ˈti.vu"
"binómio","bi.ˈnɔ.mju"
"enciclopédia","ẽ.si.klu.ˈpɛ.djɐ"
"ela","ˈɛ.lɐ"
"cruzamento","kɾu.zɐ.ˈmẽ.tu"
"quadrúpede","kwɐ.ˈdɾu.pɨ.dɨ"
"sábado","ˈsa.bɐ.du"
"domingo","du.ˈmĩ.ɡu"
"onomatopeia","ɔ.nɔ.mɐ.tu.ˈpɐj.ɐ"
"atletismo","ɐ.tlɛ.ˈtiʒ.mu"
"salto","ˈsaɫ.tu"
"cavalo","kɐ.ˈva.lu"
"seis","ˈsɐjʃ"
"carro","ka.Ru"
"bicicleta","bi.si.ˈklɛ.tɐ"
"quadrado","kwɐ.ˈdɾa.du"
"parque","ˈpaɾ.kɨ"
"delegacia","dɨ.lɨ.ɡɐ.ˈsi.ɐ"
"barraca","bɐ.ˈRa.kɐ"
"palco","ˈpaɫ.ku"
"palavra","pɐ.ˈla.vɾɐ"
"busílis","bu.zi.ˈliʃ"
"empecilho","ẽ.pɨ.ˈsi.ʎu"
"corrida","ku.ˈRi.dɐ"
"Wikcionário:Livro de estilo/Modelo","pɾu.nˈũ.sjɐ"
"famigerado","fɐ.mi.ʒɨ.ˈɾa.du"
"hiperespaço","i.pɛ.ɾiʃ.ˈpa.su"
"triatlo","tɾi.ˈa.tlu"
"kiwi","ki.ˈvi"
"preto","ˈpɾe.tu"
"prato","ˈpɾa.tu"
"pessoa","pɨ.ˈso.ɐ"
"estacionar","iʃ.tɐ.sju.ˈnaɾ"
"país","pɐ.ˈiʃ"
"mapa","ˈma.pɐ"
"sorvete","suɾ.ˈve.tɨ"
"alimento","ɐ.li.ˈmẽ.tu"
"planta","ˈplɐ̃.tɐ"
"trampolim","tɾɐ̃.pu.ˈlĩ"
"susto","ˈsuʃ.tu"
"ação","a.ˈsɐ̃w̃"
"gruta","ˈɡɾu.tɐ"
"sebo","ˈse.bu"
"neve","ˈnɛ.vɨ"
"estátua","iʃ.ˈta.twɐ"
"esgrima","iʒ.ˈɡɾi.mɐ"
"Portugal","puɾ.tu.ˈɡal"
"vermelho","vɨɾ.ˈmɐj.ʎu"
"encarnado","ẽ.kɐɾ.ˈna.du"
"pássaro","ˈpa.sɐ.ɾu"
"amarelo","ɐ.mɐ.ˈɾɛ.lu"
"branco","ˈbɾɐ̃.ku"
"azul","ɐ.ˈzuɫ"
"novo","ˈno.vu"
"queijo","ˈkɐj.ʒu"
"cesta","ˈseʃ.tɐ"
"chapéu","ʃɐ.ˈpɛw"
"tomate","tu.ˈma.tɨ"
"janela","ʒɐ.ˈnɛ.lɐ"
"orgulhoso","ɔɾ.ɡu.ˈʎo.zu"
"muro","ˈmu.ɾu"
"beijar","bɐj.ˈʒaɾ"
"barba","ˈbaɾ.bɐ"
"bigode","bi.ˈɡɔ.dɨ"
"ténis","ˈtɛ.niʃ"
"doutorar","dow.tu.ˈɾaɾ"
"trapo","ˈtɾa.pu"
"baleeiro","bɐ.ˈljɐj.ɾu"
"lista","ˈliʃ.tɐ"
"sonhar","su.ˈɲaɾ"
"dormir","duɾ.ˈmiɾ"
"framboesa","fɾɐ̃.ˈbwe.zɐ"
"febre","ˈfɛ.bɾɨ"
"pinote","pi.ˈnɔ.tɨ"
"sangue","ˈsɐ̃.ɡɨ"
"buscar","buʃ.ˈkaɾ"
"namorar","nɐ.mu.ˈɾaɾ"
"ioga","ˈjɔ.ɡɐ"
"eclíptica","e.ˈkli.ti.kɐ"
"legal","lɨ.ˈɡaɫ"
"fixe","ˈfi.ʃɨ"
"abacaxi","ɐ.bɐ.kɐ.ˈʃi"
"abacate","ɐ.bɐ.ˈka.tɨ"
"abóbora","ɐ.ˈbɔ.bu.ɾɐ"
"ameixa","ɐ.mˈɐj.ʃɐ"
"amêndoa","ɐ.ˈmẽ.dwɐ"
"amora","ɐ.ˈmɔ.ɾɐ"
"ata","ˈa.tɐ"
"avelã","ɐ.vɨ.ˈlɐ̃"
"azeitona","ɐ.zɐj.ˈto.nɐ"
"banana","bɐ.ˈnɐ.nɐ"
"cabaça","kɐ.ˈba.sɐ"
"cacau","kɐ.ˈkaw"
"café","kɐ.ˈfɛ"
"caju","ka.ˈʒu"
"caqui","ka.ˈki"
"castanha","kɐʃ.ˈtɐ.ɲɐ"
"cereja","sɨ.ˈɾɐj.ʒɐ"
"disco","ˈdiʃ.ku"
"para","ˈpɐ.ɾɐ"
"em","ɐj̃"
"três","ˈtɾeʃ"
"dez","ˈdɛʃ"
"onze","ˈõ.zɨ"
"doze","ˈdo.zɨ"
"treze","ˈtɾe.zɨ"
"quinze","ˈkĩ.zɨ"
"quatro","ˈkwa.tɾu"
"ícone","ˈi.ku.nɨ"
"ferreiro","fɨ.ˈRɐj.ɾu"
"cinco","ˈsĩ.ku"
"verde","ˈveɾ.dɨ"
"dezoito","dɨ.ˈzoj.tu"
"vinte","ˈvĩ.tɨ"
"nove","ˈnɔ.vɨ"
"oito","ˈoj.tu"
"sete","ˈsɛ.tɨ"
"mocidade","mu.si.ˈda.dɨ"
"trinta","ˈtɾĩ.tɐ"
"cem","ˈsɐ̃j̃"
"exorbitante","i.zuɾ.bi.ˈtɐ̃.tɨ"
"glossário","ɡlu.ˈsa.ɾju"
"sanita","sɐ.ˈni.tɐ"
"noventa","nu.ˈvẽ.tɐ"
"quarenta","kwɐ.ˈɾẽ.tɐ"
"sessenta","sɨ.ˈsẽ.tɐ"
"setenta","sɨ.ˈtẽ.tɐ"
"oitenta","oj.ˈtẽ.tɐ"
"segundo","sɨ.ˈɡũ.du"
"quarto","ˈkwaɾ.tu"
"quinto","ˈkĩ.tu"
"maremoto","mɐ.ɾɨ.ˈmɔ.tu"
"leite","ˈlɐj.tɨ"
"jesuíta","ʒɨ.ˈzwi.tɐ"
"bimensal","bi.mẽ.ˈsaɫ"
"bimestral","bi.mɨʃ.ˈtɾaɫ"
"adicionar","ɐ.di.sju.ˈnaɾ"
"sétimo","ˈsɛ.ti.mu"
"mil","ˈmiɫ"
"semana","sɨ.ˈmɐ.nɐ"
"coco","ˈko.ku"
"cone","ˈkɔ.nɨ"
"lícito","ˈli.si.tu"
"causalidade","kaw.zɐ.li.ˈda.dɨ"
"constituição","kõʃ.ti.twi.ˈsɐ̃w̃"
"filmar","fiɫ.ˈmaɾ"
"hospitaleiro","ɔʃ.pi.tɐ.ˈlɐj.ɾu"
"nono","ˈno.nu"
"décimo","ˈdɛ.si.mu"
"vigésimo","vi.ˈʒɛ.zi.mu"
"trigésimo","tɾi.ˈʒɛ.zi.mu"
"ervilha","eɾ.ˈvi.ʎɐ"
"centésimo","sẽ.ˈtɛ.zi.mu"
"quingentésimo","kwĩ.ʒẽ.ˈtɛ.zi.mu"
"abordar","ɐ.buɾ.ˈdaɾ"
"milésimo","mi.ˈlɛ.zi.mu"
"convencionalismo","kõ.vẽ.sju.nɐ.ˈliʒ.mu"
"sim","ˈsĩ"
"seguimento","sɨ.ɡi.ˈmẽ.tu"
"uno","ˈunu"
"ginja","ˈʒĩ.ʒɐ"
"glande","ˈɡlɐ̃.dɨ"
"goiaba","ɡoj.ˈa.bɐ"
"groselha","ɡɾɔ.ˈze.ʎɐ"
"cego","ˈsɛ.ɡu"
"abalroar","ɐ.baɫ.ˈRwaɾ"
"munícipe","mu.ˈni.si.pɨ"
"pensão","pẽ.ˈsɐ̃w̃"
"duo","ˈdu.ɔ"
"imbecil","ĩ.bɨ.ˈsiɫ"
"palerma","pɐ.ˈlɛɾ.mɐ"
"pateta","pa.ˈtɛ.tɐ"
"abulia","ɐ.bu.ˈli.ɐ"
"mórbido","ˈmɔɾ.bi.du"
"habitante","ɐ.bi.ˈtɐ̃.tɨ"
"barafunda","bɐ.ɾɐ.ˈfũ.dɐ"
"pouco","ˈpow.ku"
"rede","ˈRe.dɨ"
"gringo","ˈɡɾĩ.ɡu"
"estrangeiro","iʃ.tɾɐ̃.ˈʒɐj.ɾu"
"pelagem","pɨ.ˈla.ʒɐ̃j̃"
"mundo","ˈmũ.du"
"bananeira","bɐ.nɐ.ˈnɐj.ɾɐ"
"milhar","mi.ˈʎaɾ"
"ensaísta","ẽ.sa.ˈiʃ.tɐ"
"dialeto","djɐ.ˈlɛ.tu"
"pêssego","ˈpe.sɨ.ɡu"
"epicarpo","e.pi.ˈkaɾ.pu"
"puta","ˈpu.tɐ"
"magusto","mɐ.ˈɡuʃ.tu"
"verbete","vɨɾ.ˈbe.tɨ"
"cornudo","kuɾ.ˈnu.du"
"ameia","ɐ.ˈmɐj.ɐ"
"cooperativa","kwu.pɨ.ɾɐ.ˈti.vɐ"
"natureza","nɐ.tu.ˈɾe.zɐ"
"poliedro","pɔ.ˈljɛ.dɾu"
"conjunto","kõ.ˈʒũ.tu"
"anglicismo","ɐ̃.ɡli.ˈsiʒ.mu"
"palpite","paɫ.ˈpi.tɨ"
"sugestão","su.ʒɨʃ.ˈtɐ̃w̃"
"letra","ˈle.tɾɐ"
"fidedigno","fi.dɨ.ˈdi.ɡnu"
"confuso","kõ.ˈfu.zu"
"plantar","plɐ̃.ˈtaɾ"
"desordenado","dɨ.zɔɾ.dɨ.ˈna.du"
"arquitetura","ɐɾ.ki.tɛ.ˈtu.ɾɐ"
"conspurcar","kõʃ.puɾ.ˈkaɾ"
"haxixe","a.ˈʃi.ʃɨ"
"sexo","ˈsɛ.ksu"
"idiotia","i.dju.ˈti.ɐ"
"fluvial","flu.ˈvi.aɫ"
"decreto","dɨ.ˈkɾɛ.tu"
"genitivo","ʒɨ.ni.ˈti.vu"
"dativo","dɐ.ˈti.vu"
"vocativo","vu.kɐ.ˈti.vu"
"ablativo","ɐ.blɐ.ˈti.vu"
"dia","di.a"
"necessidade","nɨ.sɨ.si.ˈda.dɨ"
"abate","ɐ.ˈba.tɨ"
"metafísica","mɨ.tɐ.ˈfi.zi.kɐ"
"laranja","lɐ.ˈɾɐ̃.ʒɐ"
"minuto","mi.ˈnu.tu"
"homem","ˈɔm"
"elemento","i.lɨ.ˈmẽ.tu"
"incluir","ĩ.ˈklwiɾ"
"embora","ẽ.ˈbɔ.ɾɐ"
"crítica","ˈkɾi.ti.kɐ"
"cinza","ˈsĩ.zɐ"
"arco","ˈaɾ.ku"
"ter","ˈteɾ"
"mesa","ˈme.zɐ"
"objeto","AFIɔb.ˈʒɛ.tuʃ"
"fita","ˈfi.tɐ"
"projeto","pɾu.ˈʒɛ.tu"
"hibridismo","i.bɾi.ˈdiʒ.mu"
"clique","ˈkli.kɨ"
"cama","ˈkɐ.mɐ"
